trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
VJ1@11:00:00,,11:00:00,9990000001,1,0,0
VJ1@11:00:00,11:19:00,11:19:00,9990000006,2,0,0
VJ1@11:00:00,11:31:00,,9990000001,3,0,0
VJ2@11:00:00,,11:00:00,9990000001,1,0,0
VJ2@11:00:00,11:03:00,11:03:00,9990000002,2,0,0
VJ2@11:00:00,11:07:00,11:07:00,9990000003,3,0,0
VJ2@11:00:00,11:20:00,11:20:00,9990000001,4,0,0
VJ2@11:00:00,11:29:00,11:29:00,9990000004,5,0,0
VJ2@11:00:00,11:48:00,11:48:00,9990000005,6,0,0
VJ2@11:00:00,12:00:00,12:00:00,9990000001,7,0,0
VJ2@11:00:00,12:19:00,12:19:00,9990000006,8,0,0
VJ2@11:00:00,12:31:00,,9990000001,9,0,0
VJ3@12:00:00,,12:00:00,9990000001,1,0,0
VJ3@12:00:00,12:03:00,12:03:00,9990000002,2,0,0
VJ3@12:00:00,12:07:00,12:07:00,9990000003,3,0,0
VJ3@12:00:00,12:20:00,12:20:00,9990000001,4,0,0
VJ3@12:00:00,12:29:00,12:29:00,9990000004,5,0,0
VJ3@12:00:00,12:48:00,12:48:00,9990000005,6,0,0
VJ3@12:00:00,13:00:00,13:00:00,9990000001,7,0,0
VJ3@12:00:00,13:19:00,13:19:00,9990000006,8,0,0
VJ3@12:00:00,13:31:00,,9990000001,9,0,0
VJ4@13:00:00,,13:00:00,9990000001,1,0,0
VJ4@13:00:00,13:03:00,13:03:00,9990000002,2,0,0
VJ4@13:00:00,13:07:00,13:07:00,9990000003,3,0,0
VJ4@13:00:00,13:20:00,13:20:00,9990000001,4,0,0
VJ4@13:00:00,13:39:00,13:39:00,9990000006,5,0,0
VJ4@13:00:00,13:51:00,,9990000001,6,0,0
VJ5@14:00:00,,14:00:00,9990000001,1,0,0
VJ5@14:00:00,14:03:00,14:03:00,9990000002,2,0,0
VJ5@14:00:00,14:07:00,14:07:00,9990000003,3,0,0
VJ5@14:00:00,14:20:00,,9990000001,4,0,0
